,frame,tracker,left,top,width,height
0,10,0,108.0,58.0,99.0,119.0
1,11,0,107.89935030187718,57.58283490341799,99.17995746298038,119.21668347583352
2,12,0,107.58344316073209,57.03733601317766,99.49454893606548,119.59547729036456
3,13,0,107.49958894019053,56.9454970276218,99.54594734163686,119.65736516646069
4,14,0,107.29797310455288,56.81551258910443,99.6798275998114,119.8185679263035
5,15,0,107.11025235398614,56.67099637681835,99.81330324467604,119.97928349869153
6,16,0,106.87917835025473,56.347169961015595,100.07793044925722,120.29791625522807
7,17,0,106.83360552813863,56.4341030687669,99.96011891364577,120.15606154908367
8,18,0,106.61308611486353,56.3010156936519,100.13450804708077,120.36604030158708
9,19,0,106.46253080811387,56.1464804387826,100.22382151675832,120.47358100997432
10,20,0,106.45694169256463,56.22009249076271,100.12478030110229,120.35432730132723
11,21,0,106.41194999164867,56.189362454116434,100.29266413229777,120.55647313888912
12,22,0,106.11743442347915,55.711869767564174,100.6343144711542,120.96784803669584
13,23,0,106.14178752588765,55.73341049251218,100.61537030755238,120.94503771725692
14,24,0,106.13296358067117,55.65365072283639,100.5639826180369,120.88316274416685
15,25,0,106.04548891012601,55.50388298743652,100.66697629474129,121.007175538566
16,26,0,106.00554822009403,55.42979882340886,100.6509704595502,120.98790320639712
17,27,0,106.0875685299723,55.484825193545305,100.53031530308716,120.8426245486151
18,28,0,100.38736893209499,51.50277450673663,106.96253915635988,128.58754714745373
19,29,0,105.06160259001805,55.25872633253332,101.58727858488561,122.11529462261737
20,30,0,105.30450449544702,52.47160254329568,106.13779259240408,127.59448495820081
21,31,0,99.16831348333247,50.70954920485614,106.72819766192032,128.30538085823056
22,32,0,104.6013772447298,52.01494572559392,107.60964765711509,129.3667186075467
23,33,0,98.82935013155554,50.77014138911461,107.30818547711624,129.00373353367053
24,34,0,104.16764170578946,51.96790538343228,107.98036657768131,129.81309445067745
25,35,0,98.41177173563912,51.025278015532166,107.60539912046039,129.36160302259515
26,36,0,103.8936416636968,51.74069822796449,108.48670361106139,130.42276557250244
27,37,0,98.55597596593927,51.66898940566273,108.88614323047597,130.90372348159343
28,38,0,104.68309341643335,52.39858482733361,108.6192575773171,130.58237136860623
29,39,0,99.09496007460996,51.563133773716274,108.6998440669156,130.67940408057177
30,40,0,100.94516320777035,49.99380246993374,112.1794274050543,134.8691064673102
31,41,0,98.30210917909746,48.014674249401025,114.81666026157687,138.04455011087816
32,42,0,98.01588726374037,47.708388229967284,115.83122560618038,139.26616960744155
33,43,0,97.57955559650676,46.885177561182545,116.68186456699749,140.29040835618048
34,44,0,97.50241941976702,46.71630246528693,116.93656901371963,140.59709330223365
35,45,0,97.79754759270345,50.39097961945323,110.66690229593654,133.04790276449484
36,46,0,104.59473369236298,51.57472089077848,109.25774146283158,131.35115808789908
37,47,0,99.70428085466176,51.654265384665976,108.18987839281095,130.0653637790988
38,48,0,102.34960675174409,50.93232375353442,110.04521849149893,132.29934471425366
39,49,0,98.01837204316035,46.906993806057216,115.82928847545486,139.26383714391488
40,50,0,98.11197198348681,50.60562879814924,110.18582555645888,132.46864709859318
41,51,0,104.79683622094839,52.148340651071905,108.94785547669659,130.97803006377734
42,52,0,99.48129763305352,51.62135702355701,108.49138623440268,130.42840383326018
43,53,0,104.30400224086823,51.65779574671184,108.44811250594755,130.37629873165093
